age,sex,race,degree,health,happy,marital,martype,agewed,hrs2,indus10,agekdbrn,childs,class,income16
48.0,male,white,high school,poor,,married,,25.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
25.0,male,white,bachelor's,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
42.0,male,white,bachelor's,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
24.0,male,white,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,
24.0,female,white,bachelor's,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
31.0,male,white,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,3.0,,
46.0,female,white,bachelor's,excellent,,married,,23.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
52.0,female,white,associate/junior college,excellent,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",24.0,4.0,middle class,
42.0,male,white,graduate,good,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,
50.0,female,white,graduate,good,,divorced,,20.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
32.0,female,white,high school,good,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,
48.0,female,white,bachelor's,excellent,very happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,
57.0,female,white,high school,fair,,not married,,17.0,,,,7.0,,
62.0,male,white,associate/junior college,,pretty happy,married,,,,Service Occupations,35.0,1.0,lower class,
66.0,male,white,high school,good,,divorced,,32.0,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,
34.0,male,white,less than high school,,pretty happy,never married,,,,Sales and Office Occupations,,0.0,middle class,
30.0,male,white,bachelor's,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
27.0,female,black,high school,good,,divorced,,18.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
59.0,male,white,high school,good,,married,,19.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
19.0,female,white,high school,excellent,,married,,18.0,,Sales and Office Occupations,,1.0,,
23.0,female,other,high school,good,not too happy,never married,,,,,17.0,2.0,middle class,
50.0,male,white,high school,poor,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,lower class,
35.0,female,white,high school,good,pretty happy,never married,,,,Sales and Office Occupations,22.0,2.0,lower class,
44.0,male,white,associate/junior college,excellent,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,
78.0,male,white,high school,good,,married,,27.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
33.0,male,white,high school,good,pretty happy,never married,,,,,,0.0,middle class,
21.0,male,white,high school,excellent,pretty happy,never married,,,,,,0.0,middle class,
77.0,male,white,high school,fair,pretty happy,married,,,,Sales and Office Occupations,22.0,6.0,middle class,
70.0,female,white,high school,fair,pretty happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",23.0,6.0,middle class,
69.0,male,white,graduate,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",24.0,2.0,middle class,
26.0,female,white,graduate,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,working class,
27.0,female,black,less than high school,,not too happy,never married,,,,Sales and Office Occupations,19.0,1.0,lower class,
24.0,female,white,bachelor's,good,very happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,
30.0,female,white,high school,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,middle class,
89.0,male,white,less than high school,poor,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",32.0,2.0,lower class,
37.0,female,white,less than high school,,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",17.0,3.0,working class,
68.0,female,white,associate/junior college,,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",23.0,2.0,working class,
83.0,female,white,high school,,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",24.0,2.0,middle class,
61.0,female,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",24.0,3.0,middle class,
72.0,female,white,high school,good,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",16.0,4.0,working class,
42.0,female,white,associate/junior college,fair,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
53.0,female,white,high school,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",17.0,7.0,working class,
79.0,male,white,high school,excellent,very happy,married,,,,"Management, Business, Science, and Arts Occupations",28.0,5.0,middle class,
58.0,female,white,graduate,good,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",29.0,2.0,middle class,
36.0,female,white,bachelor's,good,,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,,
35.0,female,white,high school,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
51.0,female,white,high school,excellent,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",16.0,2.0,working class,
56.0,male,white,bachelor's,fair,,married,,27.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
43.0,male,white,high school,excellent,,married,,21.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,
40.0,female,white,high school,good,,married,,19.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
82.0,female,white,high school,good,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",34.0,1.0,middle class,
41.0,female,white,associate/junior college,good,,never married,,,,Sales and Office Occupations,,0.0,,
73.0,female,white,high school,good,,divorced,,23.0,,"Natural Resources, Construction, and Maintenance Occupations",,4.0,,
42.0,female,white,high school,good,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,
77.0,female,white,high school,good,pretty happy,married,,,,Sales and Office Occupations,21.0,4.0,middle class,
85.0,male,white,high school,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",24.0,1.0,middle class,
23.0,male,white,associate/junior college,good,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,
62.0,female,white,graduate,excellent,,married,,24.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
78.0,female,white,associate/junior college,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",25.0,4.0,middle class,
21.0,female,white,high school,,very happy,never married,,,,Sales and Office Occupations,,0.0,middle class,
51.0,male,white,high school,good,,married,,21.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
36.0,female,white,bachelor's,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",30.0,3.0,middle class,
35.0,female,white,high school,,not too happy,never married,,,,"Management, Business, Science, and Arts Occupations",20.0,2.0,lower class,
34.0,female,white,bachelor's,good,very happy,married,,,,Sales and Office Occupations,,0.0,working class,
46.0,female,white,graduate,excellent,,married,,30.0,,"Natural Resources, Construction, and Maintenance Occupations",,1.0,,
68.0,male,white,less than high school,fair,,married,,20.0,,,,6.0,,
27.0,female,white,high school,fair,,never married,,,,Sales and Office Occupations,,0.0,,
27.0,female,black,high school,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,middle class,
79.0,male,white,high school,fair,not too happy,divorced,,,,"Management, Business, Science, and Arts Occupations",42.0,2.0,working class,
64.0,female,white,high school,,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,3.0,middle class,
22.0,male,white,high school,excellent,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,
39.0,female,white,high school,good,very happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,
44.0,male,white,associate/junior college,fair,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",29.0,1.0,middle class,
52.0,male,white,bachelor's,,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",36.0,2.0,middle class,
25.0,female,white,bachelor's,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
25.0,female,white,graduate,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
33.0,female,black,high school,,pretty happy,never married,,,,Service Occupations,26.0,1.0,working class,
42.0,male,other,high school,fair,not too happy,married,,,,"Management, Business, Science, and Arts Occupations",18.0,4.0,middle class,
52.0,female,black,high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,7.0,middle class,
75.0,female,white,associate/junior college,good,,widowed,,25.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
32.0,female,white,high school,,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",20.0,3.0,middle class,
80.0,female,white,high school,good,not too happy,married,,,,"Management, Business, Science, and Arts Occupations",18.0,2.0,middle class,
25.0,male,white,high school,excellent,,never married,,,,Sales and Office Occupations,,0.0,,
24.0,female,white,high school,excellent,,never married,,,,Sales and Office Occupations,,1.0,,
49.0,male,white,bachelor's,,pretty happy,not married,,,,Sales and Office Occupations,40.0,1.0,working class,
35.0,male,white,associate/junior college,good,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
43.0,female,white,associate/junior college,,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,
42.0,female,white,bachelor's,excellent,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",26.0,2.0,middle class,
36.0,female,white,graduate,good,,married,,21.0,,Service Occupations,,3.0,,
35.0,male,white,high school,excellent,,married,,22.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
76.0,female,white,associate/junior college,,pretty happy,widowed,,,,Sales and Office Occupations,26.0,3.0,middle class,
32.0,male,white,bachelor's,good,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,
52.0,male,white,high school,,not too happy,divorced,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,
60.0,female,white,high school,poor,pretty happy,divorced,,,,Sales and Office Occupations,20.0,1.0,working class,
44.0,female,black,associate/junior college,fair,,not married,,22.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
43.0,female,white,high school,excellent,pretty happy,not married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,
74.0,female,white,high school,,pretty happy,widowed,,,,Sales and Office Occupations,22.0,2.0,working class,
49.0,female,white,graduate,excellent,very happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
62.0,male,white,bachelor's,fair,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",35.0,1.0,middle class,
28.0,male,white,associate/junior college,,not too happy,never married,,,,Sales and Office Occupations,,0.0,middle class,
79.0,female,white,high school,,pretty happy,widowed,,,,,21.0,4.0,middle class,
42.0,male,white,high school,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
34.0,female,black,high school,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",17.0,3.0,working class,
69.0,male,black,high school,fair,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,6.0,working class,
22.0,female,white,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,1.0,working class,
82.0,male,white,less than high school,good,,widowed,,18.0,,"Production, Transportation, and Material Moving Occupations",,8.0,,
32.0,male,white,high school,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",24.0,1.0,working class,
47.0,female,white,high school,good,,not married,,21.0,,Sales and Office Occupations,,2.0,,
30.0,male,black,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,2.0,,
63.0,male,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,4.0,middle class,
20.0,male,white,high school,fair,,never married,,,,,,0.0,,
55.0,female,white,high school,excellent,very happy,divorced,,,,"Management, Business, Science, and Arts Occupations",24.0,2.0,working class,
33.0,female,white,high school,excellent,,married,,19.0,,Sales and Office Occupations,,2.0,,
72.0,male,white,high school,good,,married,,32.0,,"Natural Resources, Construction, and Maintenance Occupations",,1.0,,
41.0,female,white,bachelor's,good,,married,,24.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
60.0,male,white,bachelor's,,pretty happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,4.0,working class,
53.0,male,white,high school,good,,divorced,,21.0,,Sales and Office Occupations,,4.0,,
27.0,male,white,high school,good,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",24.0,1.0,working class,
69.0,female,white,high school,good,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,2.0,middle class,
80.0,female,white,high school,fair,not too happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",24.0,3.0,middle class,
77.0,female,white,graduate,good,,widowed,,22.0,,"Production, Transportation, and Material Moving Occupations",,6.0,,
85.0,female,white,less than high school,good,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,
77.0,female,black,associate/junior college,fair,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",22.0,2.0,working class,
50.0,male,white,high school,good,,divorced,,17.0,,Service Occupations,,2.0,,
24.0,male,white,bachelor's,good,very happy,married,,,,Sales and Office Occupations,,0.0,middle class,
18.0,female,white,less than high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,
31.0,female,white,high school,good,,never married,,,,Sales and Office Occupations,,1.0,,
81.0,female,white,less than high school,fair,,widowed,,16.0,,"Production, Transportation, and Material Moving Occupations",,8.0,,
86.0,female,white,high school,,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",26.0,1.0,middle class,
41.0,female,white,high school,good,not too happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",26.0,3.0,working class,
78.0,female,white,high school,fair,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",23.0,1.0,middle class,
67.0,male,white,high school,good,,widowed,,25.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,
56.0,female,white,associate/junior college,good,,married,,31.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
60.0,male,white,bachelor's,,pretty happy,married,,,50.0,Service Occupations,21.0,1.0,middle class,
75.0,male,white,less than high school,excellent,very happy,widowed,,,,"Management, Business, Science, and Arts Occupations",20.0,5.0,middle class,
45.0,male,white,high school,good,,married,,34.0,,Service Occupations,,0.0,,
67.0,female,white,high school,good,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,3.0,middle class,
70.0,male,white,high school,fair,,married,,26.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,
62.0,female,white,high school,,very happy,married,,,,Sales and Office Occupations,21.0,1.0,middle class,
84.0,male,white,less than high school,fair,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",29.0,2.0,working class,
