age,sex,race,degree,health,happy,marital,martype,agewed,hrs2,indus10,agekdbrn,childs,class,income16,dateintv
48.0,male,white,high school,poor,,married,,25.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,424.0
25.0,male,white,bachelor's,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,620.0
42.0,male,white,bachelor's,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,418.0
24.0,male,white,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,418.0
24.0,female,white,bachelor's,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,804.0
31.0,male,white,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,424.0
46.0,female,white,bachelor's,excellent,,married,,23.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,630.0
52.0,female,white,associate/junior college,excellent,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",24.0,4.0,middle class,unemployed/zero income,515.0
42.0,male,white,graduate,good,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,723.0
50.0,female,white,graduate,good,,divorced,,20.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,313.0
32.0,female,white,high school,good,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,unemployed/zero income,307.0
48.0,female,white,bachelor's,excellent,very happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,727.0
57.0,female,white,high school,fair,,not married,,17.0,,,,7.0,,unemployed/zero income,502.0
62.0,male,white,associate/junior college,,pretty happy,married,,,,Service Occupations,35.0,1.0,lower class,unemployed/zero income,309.0
66.0,male,white,high school,good,,divorced,,32.0,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,307.0
34.0,male,white,less than high school,,pretty happy,never married,,,,Sales and Office Occupations,,0.0,middle class,unemployed/zero income,313.0
30.0,male,white,bachelor's,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,308.0
27.0,female,black,high school,good,,divorced,,18.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,628.0
59.0,male,white,high school,good,,married,,19.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,422.0
19.0,female,white,high school,excellent,,married,,18.0,,Sales and Office Occupations,,1.0,,unemployed/zero income,419.0
23.0,female,other,high school,good,not too happy,never married,,,,,17.0,2.0,middle class,unemployed/zero income,419.0
50.0,male,white,high school,poor,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,lower class,unemployed/zero income,421.0
35.0,female,white,high school,good,pretty happy,never married,,,,Sales and Office Occupations,22.0,2.0,lower class,unemployed/zero income,419.0
44.0,male,white,associate/junior college,excellent,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,422.0
78.0,male,white,high school,good,,married,,27.0,,"Management, Business, Science, and Arts Occupations",,3.0,,unemployed/zero income,321.0
33.0,male,white,high school,good,pretty happy,never married,,,,,,0.0,middle class,unemployed/zero income,410.0
21.0,male,white,high school,excellent,pretty happy,never married,,,,,,0.0,middle class,unemployed/zero income,504.0
77.0,male,white,high school,fair,pretty happy,married,,,,Sales and Office Occupations,22.0,6.0,middle class,unemployed/zero income,518.0
70.0,female,white,high school,fair,pretty happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",23.0,6.0,middle class,unemployed/zero income,310.0
69.0,male,white,graduate,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",24.0,2.0,middle class,unemployed/zero income,627.0
26.0,female,white,graduate,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,working class,unemployed/zero income,319.0
27.0,female,black,less than high school,,not too happy,never married,,,,Sales and Office Occupations,19.0,1.0,lower class,unemployed/zero income,315.0
24.0,female,white,bachelor's,good,very happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,unemployed/zero income,504.0
30.0,female,white,high school,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,middle class,unemployed/zero income,627.0
89.0,male,white,less than high school,poor,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",32.0,2.0,lower class,unemployed/zero income,411.0
37.0,female,white,less than high school,,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",17.0,3.0,working class,unemployed/zero income,412.0
68.0,female,white,associate/junior college,,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",23.0,2.0,working class,unemployed/zero income,411.0
83.0,female,white,high school,,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",24.0,2.0,middle class,unemployed/zero income,623.0
61.0,female,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",24.0,3.0,middle class,unemployed/zero income,712.0
72.0,female,white,high school,good,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",16.0,4.0,working class,unemployed/zero income,712.0
42.0,female,white,associate/junior college,fair,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,726.0
53.0,female,white,high school,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",17.0,7.0,working class,unemployed/zero income,324.0
